lead_time,arrival_date_year,arrival_date_month,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,country,market_segment,distribution_channel,reserved_room_type,assigned_room_type,agent,adr,reservation_status_date,customer
100,2015,12,25,0,1,PRT,Online TA,TA/TO,A,A,8,85,150918,2
12,2015,10,20,0,4,GBR,Direct,Direct,E,E,14,146,151024,2
18,2016,9,26,1,0,KOR,Online TA,TA/TO,A,A,9,129,160921,2
23,2017,7,15,0,1,FRA,Online TA,TA/TO,A,A,9,120,170716,2
137,2016,7,6,0,4,PRT,Online TA,TA/TO,A,A,9,107.95,160710,2
67,2017,2,12,2,0,PRT,Groups,TA/TO,A,A,3,80,161207,2
278,2016,8,11,0,1,PRT,Groups,TA/TO,A,A,1,65,151218,2
35,2016,12,2,2,2,ESP,Online TA,TA/TO,A,A,9,88.4,161206,2
68,2016,2,17,0,2,PRT,Groups,TA/TO,A,A,37,75,160106,2
56,2016,6,8,0,1,PRT,Offline TA/TO,Corporate,A,A,191,120,160602,2
97,2016,4,25,1,3,PHL,Online TA,TA/TO,A,A,8,110.5,160429,3
3,2016,11,7,1,1,ISR,Groups,TA/TO,A,D,37,140,161109,1
16,2016,10,29,2,1,ESP,Online TA,TA/TO,A,A,9,140,161024,2
168,2015,9,11,0,2,PRT,Groups,TA/TO,A,A,1,0,150907,2
56,2015,9,25,2,2,PRT,Offline TA/TO,TA/TO,A,F,44,185,150929,2
97,2016,10,30,2,1,FRA,Online TA,TA/TO,A,A,9,79.8,160729,2
27,2015,9,20,3,5,PRT,Direct,Direct,A,A,14,152.5,150928,2
326,2015,9,8,0,1,PRT,Groups,TA/TO,A,A,1,60,150528,2
55,2016,6,26,2,2,CHE,Online TA,TA/TO,A,A,9,108.9,160625,2
21,2017,1,11,0,4,ITA,Online TA,TA/TO,A,A,9,82.88,170115,2
131,2017,6,17,2,5,FRA,Online TA,TA/TO,A,A,9,117,170608,2
29,2016,6,18,2,2,NOR,Online TA,TA/TO,D,D,9,130.8,160520,1
140,2016,12,27,0,3,BRA,Online TA,TA/TO,F,G,7,140.98,161230,4
191,2017,8,9,0,4,RUS,Online TA,TA/TO,A,A,9,112.5,170418,2
124,2015,8,8,2,1,ITA,Offline TA/TO,TA/TO,A,A,17,94.5,150801,2
157,2017,6,25,2,4,FRA,Offline TA/TO,TA/TO,A,D,28,85,170701,2
107,2017,5,18,1,3,LUX,Online TA,TA/TO,D,D,9,146.25,170515,2
11,2016,8,25,0,1,DEU,Online TA,TA/TO,D,D,9,155,160826,2
34,2016,10,26,0,3,FRA,Offline TA/TO,TA/TO,A,D,28,100,161029,3
183,2016,9,8,0,3,FRA,Offline TA/TO,TA/TO,A,A,44,110,160911,2
34,2017,2,19,2,1,TZA,Online TA,TA/TO,A,A,9,80,170116,2
279,2016,10,12,0,3,PRT,Offline TA/TO,TA/TO,A,A,98,110,160505,2
33,2016,10,9,2,1,GBR,Direct,Direct,A,A,14,120,161012,1
350,2016,6,17,0,2,PRT,Groups,TA/TO,A,A,29,140,150811,2
58,2016,3,31,0,3,ESP,Online TA,TA/TO,D,D,9,123.3,160331,3
0,2016,1,20,1,4,FRA,Direct,Direct,D,D,0,78.4,160125,2
46,2016,11,23,0,1,PRT,Online TA,TA/TO,A,D,9,86.4,161124,1
52,2017,1,10,0,1,FRA,Online TA,TA/TO,A,A,9,79.2,161119,2
101,2016,4,4,1,2,PRT,Offline TA/TO,TA/TO,A,A,3,70,160204,1
21,2016,8,28,2,1,DEU,Online TA,TA/TO,A,A,9,125,160831,2
28,2017,4,29,0,1,HKG,Online TA,TA/TO,A,D,9,115,170430,2
127,2017,6,16,1,2,AUS,Online TA,TA/TO,A,A,9,117,170602,2
151,2016,1,19,0,3,BEL,Offline TA/TO,TA/TO,A,B,19,71,160122,1
243,2017,2,19,2,2,GBR,Online TA,TA/TO,D,D,9,97.75,170223,2
272,2017,1,6,0,1,DEU,Online TA,TA/TO,A,A,9,71.1,170107,2
86,2016,7,26,0,3,FRA,Online TA,TA/TO,B,B,9,97.54,160729,2
57,2017,5,10,0,1,USA,Online TA,TA/TO,A,A,9,134.1,170315,2
301,2016,7,30,1,1,DEU,Offline TA/TO,TA/TO,A,A,6,115,160801,2
12,2016,3,24,0,3,ESP,Online TA,TA/TO,D,D,9,183.67,160321,3
60,2016,7,25,1,0,DEU,Online TA,TA/TO,D,E,9,137.7,160726,3
9,2017,2,1,0,1,ESP,Corporate,Corporate,D,D,0,95,170202,1
351,2017,7,18,0,4,BRA,Online TA,TA/TO,D,D,9,132.3,160808,3
8,2015,9,19,2,1,PRT,Direct,Direct,A,A,0,139,150922,2
167,2016,10,5,0,2,PRT,Offline TA/TO,TA/TO,A,A,83,78.2,160425,1
0,2016,9,30,1,2,PRT,Corporate,Corporate,A,D,0,131,161003,1
23,2016,1,2,2,1,ITA,Offline TA/TO,TA/TO,A,A,26,79,160105,1
206,2016,6,30,1,3,USA,Online TA,TA/TO,E,E,11,101.83,160704,2
80,2015,11,2,1,1,PRT,Groups,TA/TO,A,A,0,111,151013,2
75,2016,5,26,0,2,FRA,Online TA,TA/TO,D,D,9,140.4,160521,2
60,2016,3,20,2,2,PRT,Offline TA/TO,TA/TO,A,A,3,75,160122,2
140,2016,5,29,2,1,DEU,Online TA,TA/TO,A,A,9,105.3,160601,2
50,2016,3,31,0,3,ISR,Groups,TA/TO,A,A,1,65,160403,2
12,2016,6,8,0,1,ESP,Online TA,TA/TO,A,A,9,109,160609,1
85,2016,10,6,1,3,CN,Offline TA/TO,TA/TO,A,A,6,42.5,161010,2
323,2016,5,26,0,2,PRT,Groups,TA/TO,A,A,1,62,151021,2
215,2017,8,25,0,1,GBR,Direct,Direct,F,F,14,215,170826,4
189,2017,4,6,2,3,DEU,Online TA,TA/TO,A,A,83,88.4,170411,2
89,2015,9,27,1,0,PRT,Groups,TA/TO,A,A,1,170,150922,1
175,2017,5,19,0,1,PRT,Groups,TA/TO,A,A,44,90,161125,1
157,2017,5,1,1,3,PRT,Groups,TA/TO,A,A,3,130,161125,2
13,2017,2,23,0,3,GBR,Online TA,TA/TO,D,D,9,122.4,170226,2
86,2017,4,1,2,3,DEU,Online TA,TA/TO,D,D,9,130.5,170406,2
34,2017,3,12,2,2,CHN,Online TA,TA/TO,A,A,7,72.33,170316,2
14,2016,11,18,2,3,CHE,Offline TA/TO,TA/TO,A,K,25,0,161123,0
53,2017,3,15,0,3,DZA,Online TA,TA/TO,A,A,7,102.56,170318,2
256,2015,9,14,1,2,PRT,Offline TA/TO,TA/TO,A,A,4,76.67,150917,2
0,2016,9,19,1,1,PRT,Direct,Direct,A,E,0,160,160921,2
39,2015,8,14,0,2,PRT,Offline TA/TO,TA/TO,A,A,6,101.5,150706,2
4,2016,3,7,1,3,DZA,Offline TA/TO,TA/TO,A,A,12,106,160311,2
50,2017,8,29,0,2,PRT,Corporate,Corporate,A,A,0,89,170831,1
65,2015,10,22,0,3,PRT,Online TA,TA/TO,A,A,9,89.25,150822,2
101,2016,4,26,0,5,PRT,Direct,Direct,A,E,14,105.31,160501,3
0,2017,5,3,0,2,PRT,Online TA,TA/TO,A,A,9,150,170505,1
88,2017,6,30,0,2,FRA,Online TA,TA/TO,F,F,9,230,170702,4
253,2016,9,26,1,2,USA,Online TA,TA/TO,A,A,9,2,160118,1
0,2016,8,30,0,1,DZA,Online TA,TA/TO,A,A,7,85.24,160831,1
27,2017,7,24,1,3,ESP,Online TA,TA/TO,A,A,9,152,170627,2
1,2016,5,11,0,1,ESP,Offline TA/TO,TA/TO,A,A,159,135,160512,1
99,2016,4,28,1,3,POL,Online TA,TA/TO,A,A,9,101.58,160502,2
20,2016,12,4,2,0,PRT,Corporate,Corporate,A,A,0,67,161116,1
14,2017,3,1,0,4,FRA,Online TA,TA/TO,A,A,9,74.8,170215,2
114,2017,5,10,0,1,GBR,Online TA,TA/TO,A,A,9,108,170511,1
323,2016,5,26,0,2,PRT,Groups,TA/TO,A,A,1,62,151021,2
338,2016,12,15,0,3,DNK,Online TA,TA/TO,D,D,9,87.3,160113,2
72,2015,12,23,2,9,DEU,Offline TA/TO,TA/TO,A,A,27,58.91,160103,2
269,2015,7,13,1,1,PRT,Groups,TA/TO,A,A,1,62,150101,2
28,2015,9,4,2,2,PRT,Online TA,TA/TO,A,A,9,90.25,150908,1
7,2017,6,12,1,2,ESP,Online TA,TA/TO,A,A,85,99,170615,2
92,2015,9,30,0,1,PRT,Groups,TA/TO,A,A,1,170,150821,2
185,2017,8,6,2,2,USA,Online TA,TA/TO,F,F,9,235,170328,4
88,2017,4,10,1,1,PRT,Direct,Direct,A,A,14,108,170412,2
36,2017,4,15,2,1,FRA,Online TA,TA/TO,A,A,9,120,170418,2
58,2017,1,23,1,3,DEU,Online TA,TA/TO,A,A,9,88.4,170127,2
295,2017,4,6,0,3,IRL,Online TA,TA/TO,A,A,9,109.8,160615,2
0,2016,6,3,0,1,PRT,Online TA,Corporate,A,A,0,120,160604,2
165,2017,5,19,2,2,PRT,Groups,TA/TO,A,A,0,225,170112,2
56,2017,3,31,0,2,GBR,Online TA,TA/TO,A,A,9,93.6,170402,1
311,2015,8,24,1,1,PRT,Groups,TA/TO,A,A,1,62,150702,2
59,2016,3,31,0,3,AUT,Online TA,TA/TO,A,A,9,90.9,160403,2
290,2015,8,3,1,3,PRT,Groups,TA/TO,A,A,1,62,150706,2
12,2016,1,15,0,2,PRT,Direct,Direct,B,B,14,85.25,160117,2
123,2016,4,30,2,5,FIN,Online TA,TA/TO,A,A,11,70.73,160507,2
55,2016,9,11,2,3,PRT,Online TA,TA/TO,D,D,89,106.24,160916,2
73,2017,4,9,2,4,DEU,Offline TA/TO,TA/TO,A,A,85,89.1,170415,2
7,2016,5,24,0,1,AUT,Online TA,TA/TO,A,D,9,114.75,160525,1
46,2017,3,10,0,2,FRA,Online TA,TA/TO,A,A,7,71.1,170312,2
0,2015,9,6,2,0,PRT,Groups,TA/TO,A,A,1,6,150906,1
20,2017,3,1,0,3,PRT,Offline TA/TO,TA/TO,A,A,28,80,170304,2
448,2017,6,17,2,1,GBR,Groups,TA/TO,A,A,229,112.67,170620,2
79,2016,1,10,2,2,PRT,Offline TA/TO,TA/TO,A,A,28,70,160110,2
13,2016,8,1,1,0,DEU,Online TA,TA/TO,A,A,9,115,160802,1
210,2017,6,19,1,3,PRT,Offline TA/TO,TA/TO,A,A,154,130,170124,2
5,2016,10,1,0,1,PRT,Corporate,Corporate,A,D,0,110,160928,1
87,2017,1,3,2,5,BRA,Online TA,TA/TO,A,A,7,68.07,170110,2
74,2015,9,18,0,2,PRT,Offline TA/TO,TA/TO,A,A,6,109,150920,2
138,2016,7,16,2,3,NOR,Online TA,TA/TO,A,D,9,130.05,160721,3
423,2017,7,22,1,1,DEU,Offline TA/TO,TA/TO,A,A,6,95.5,170724,1
82,2015,9,5,0,1,AUT,Online TA,TA/TO,A,A,9,98.25,150906,2
2,2015,9,9,0,2,AGO,Direct,Direct,A,A,0,154,150911,2
26,2016,4,15,0,2,SWE,Online TA,TA/TO,D,D,9,142,160320,2
13,2016,6,20,1,3,HRV,Online TA,TA/TO,A,A,9,131,160624,2
99,2016,10,21,2,3,FRA,Online TA,TA/TO,F,F,9,236.52,160716,4
31,2017,4,21,2,3,DEU,Offline TA/TO,TA/TO,A,A,21,85,170426,2
17,2016,12,8,0,3,GBR,Online TA,TA/TO,A,A,9,92.67,161202,2
28,2015,11,19,0,2,DEU,Offline TA/TO,TA/TO,A,A,6,99,151121,2
168,2017,7,17,1,3,BEL,Online TA,TA/TO,A,A,9,107.1,170721,2
19,2016,9,19,1,0,PRT,Offline TA/TO,TA/TO,A,A,287,118.15,160831,2
75,2017,4,5,0,4,NLD,Offline TA/TO,TA/TO,A,A,21,85,170409,1
144,2017,5,6,2,1,FRA,Offline TA/TO,TA/TO,A,A,52,90,170509,2
55,2016,4,6,0,1,PRT,Offline TA/TO,TA/TO,A,B,56,104,160407,2
61,2015,9,5,2,2,PRT,Groups,TA/TO,A,B,1,60,150909,1
0,2015,8,18,0,1,ROU,Online TA,Direct,A,D,0,124,150819,2
23,2016,11,18,0,2,DEU,Online TA,TA/TO,A,A,9,91.5,161110,2
301,2016,11,18,0,2,PRT,Offline TA/TO,TA/TO,A,A,20,52,160315,2
143,2016,10,6,0,3,ITA,Online TA,TA/TO,D,D,9,151.2,160927,3
5,2015,10,27,0,1,PRT,Corporate,Corporate,A,A,40,65,151028,1
169,2017,8,8,0,3,GBR,Online TA,TA/TO,A,A,9,130.5,170811,2
1,2017,4,27,0,1,PRT,Online TA,TA/TO,A,A,9,160,170428,2
205,2017,8,27,2,3,DEU,Online TA,TA/TO,A,A,9,99,170901,2
127,2017,3,11,1,1,PRT,Groups,TA/TO,A,A,58,80,170110,2
184,2016,8,17,0,1,DEU,Online TA,TA/TO,A,A,9,82.13,160718,2
204,2015,9,4,1,2,PRT,Offline TA/TO,TA/TO,A,A,16,66.13,150512,2
29,2016,4,19,0,4,FRA,Online TA,TA/TO,D,D,9,120.35,160414,2
145,2016,8,15,1,2,FRA,Online TA,TA/TO,B,B,9,115.32,160818,2
68,2016,2,17,0,2,PRT,Groups,TA/TO,A,A,37,75,160106,2
43,2017,2,19,2,0,GBR,Online TA,TA/TO,A,A,9,98,170221,2
60,2017,4,6,0,2,GBR,Direct,Direct,E,E,14,165,170408,3
335,2015,9,17,0,2,PRT,Groups,TA/TO,A,A,1,62,150101,2
53,2016,11,11,1,2,PRT,Online TA,TA/TO,A,A,7,69.76,161028,1
3,2016,3,13,2,1,PRT,Corporate,Corporate,A,A,0,67,160316,1
1,2015,9,17,0,1,BRA,Corporate,Corporate,A,A,81,135,150918,2
3,2016,3,7,1,5,FRA,Online TA,TA/TO,A,A,9,114.67,160313,2
153,2017,5,11,0,2,FIN,Online TA,TA/TO,A,A,9,135,170513,2
24,2017,5,28,2,1,AUT,Online TA,TA/TO,A,A,9,146.67,170531,2
273,2015,7,17,0,2,PRT,Offline TA/TO,TA/TO,A,A,6,109,150719,2
192,2016,5,28,2,5,GBR,Online TA,TA/TO,A,A,11,66.71,160604,2
34,2015,8,5,0,2,ESP,Groups,TA/TO,A,A,1,62,150807,2
180,2016,10,1,2,1,IRL,Online TA,TA/TO,A,A,9,108.9,160831,2
15,2016,11,19,2,1,ESP,Online TA,TA/TO,A,A,9,99.67,161122,2
56,2016,6,8,0,1,PRT,Offline TA/TO,Corporate,A,A,191,120,160602,2
